source_text,target_text
What is the price of this? Please send me a PM.,Price kiyada? Mata PM ekak danna puluwanda.
"Highly recommended, a very good product and fast delivery.","Highly recommended, hoda product ekak saha delivery ikmanatama thibba."
Wasted my money buying this. It is completely useless and low quality.,"Aparade mekata salli damma. Melo rahak na, quality anthimai."
Where is your shop located? Can I come today?,Oyalage shop eka koheda thiyenne? Mata ada enna puluwanda?
Is cash on delivery available for outstation areas?,Outstation valata cash on delivery thiyenawada?
"This is a total scam, don't buy from this page!","Meka boru horu godak, me page eken badu ganna epa mchan!"
"Beautiful collections, shared the post to my timeline.","Lassanai collections tika, mama post eka timeline ekata share kala."
"Bro, are you going to the class tomorrow? Let me know.",Mchan heta class yanawada? Mata poddak kiyapan.
"Dude I am coming now, wait for 5 minutes there.","Ado mama dan enawa, winadi 5k hitapan ethana."
"That is awesome bro! Superb news, let's celebrate.","Eka niyamai mchan! Supiri news eka, celebrate karamu."
"I need a huge favor from you, please do this for me if you can.","Mata loku udawwak oni, puluwannam meka karala deepanko."
"Call me back as soon as you see this message, it is urgent.","Meka dekka gaman mata call ekak ganna, urgent prashnayak."
Can you send me the location? I am lost on the way.,Mata location eka ewanawada? Mama pare atharaman wela inne.
"Don't worry about it, everything will be fine.","Eka prashnayak karaganna epa, okkoma hari yayi."
Are we meeting today or is it postponed to next week?,Api ada set wenawada nathnam lagatama postponed da heta?
Had a little fun today with the gang! #srilanka #fun #vibes,Ada podi fun ekak gaththa kattiya ekka! #srilanka #fun #vibes
This is absolute madness bro... this video needs to go viral!,Meka nam pissuwak bng... viral yanna oni me video eka!
Sad status hours... no one is there to talk to me with affection.,Sad status thama ithin... kauruth na adaren katha karanna mage ekka.
Trending dance challenge with my best friend. How is it? #trending,Trending dance challenge eka mage bestie ekka. Kohomada? #trending
Wait until the end to see what happens! #funny #comedy,Mokada wenne kiyala balන්න (balanna) antima wenakam! #funny #comedy
Life is beautiful when you enjoy the small moments. #motivation,Jiwithaya lassanai podi dewal sathutin baraganna kota. #motivation
"Tried this new cafe today, the food was amazing! #foodie","Ada aluth cafe ekakata giya, kema nam supiri! #foodie"
Rate this outfit from 1 to 10 in the comments. #fashion,Meka comment karanna 1 indan 10 wenakam me outfit ekata. #fashion
"Bro, don't talk like an actor here, just tell me the final decision.","Ado mchan methana naluwa wage raga banne nathuwa, kiyapan antimata mokada karanne kiyala."
"That person is always bragging and making a scene, but has zero substance inside.","Aru thama hamadamath boru show dapu ekamai, eth athulatama moko melo rahak na."
"Don't worry about minor failures, everything happens for a good reason.","Podi podi fail weem walata upset ganna epa ban, hama dema wenne hodakatayi."
"He is completely broke right now, trying to manage somehow until the next salary.","Aru dan melo salliyak nathuwa anathaya wela inne, kohoma hari heta anidda weddi shape wenna balanawa pdi sal eken."
Please don't overcomplicate this simple problem and make it a mess.,Me nikan thiyana sarala prashnayak boruwata patalawala gu godak karaganna epa mchan.
I was completely trapped in traffic for two hours near the town today.,Ada nan patta traffic ekakata ahuwuna town eka gawa paya dekakma hirawela hitiya.
"Stop making excuses and lying to me, I know exactly what happened.","Boru baila gahala mawa andanna hadanna epa, mama dannawa ethana mokada une kiyala."
"That restaurant is just popular for photos on social media, the food tastes awful.","Oka nikan social media walata raga danna hoda place ekak vitharayi, kema nan palu yanna katha."
"If you stay up late scrolling your phone like this every night, you will ruin your health.","Hama rathriyakatama mehema phone eka oban hithe nidi maruwoth, asaneepa wei ubata lagadima."
"Don't act like a know-it-all here, we know you don't know anything about this topic.","Methana panditha talk danna enna epa ban, api dannawa oya topic eka gana oya melo deyak danne na kiyala."
Can you quickly finish this task for me? I am running out of time.,Meka ikmanata godadala deepanko mchan? Mata welawa na dan godak.
"He always gives promises to help, but breaks them at the last moment.",U thama hamadamath lokuwata katha karala udaw karannam kiyala antimata hulla thiyanne.
"I feel so exhausted and low on energy today, I just want to stay in bed.","Ada patta mahansiyak danenne, melo energy ekak na... nidi gannama thama hithenne."
"The customer service here is incredibly slow, they don't value our time at all.","Munge customer service nan patta slow ban, minissunge kalaya gana melo value ekak na munto."
"This phone's battery doesn't last even half a day, what a useless purchase.","Me phone eke battery eka baga dawasakwath adinne na, aparade dapu salli melo wadak na."
We need to plan this very carefully from the beginning to avoid any mistakes.,Api meka mul indanma parissamen plan karanna oni kisima mistake ekak nowenna.
"Don't take his words seriously, he always talks nonsense when he is angry.","Uge katha serious ganna epa ban, kenthigiyama u nikan kiyawanne melo rahak nathi dewal."
"It was an unforgettable trip with friends, we had an amazing time together.","Kattiya ekka giya mathaka hithena trip ekak, patta fun ekak gaththa serama ekathu wela."
Are you out of your mind? Why did you make such a reckless decision?,Ubata pissuda ban? Ai me wage modama thiranayak gaththe hithanne balanne nathuwa?
"He acts like a decent person on the outside, but his true character is very different.","U eliyen nan hoda pora wage ragapawata, aththa character eka patta wenas mchan."
